XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
093  PASSO.FUNDO   1    27       F                 22
094   MONJOLINHO   1    23       F                 15
094   MONJOLINHO   1    24       F                 14
094   MONJOLINHO   1    25       F                 14
094   MONJOLINHO   1    26       F                 15
094   MONJOLINHO   1    27       F                 16
103 FOZDOCHAPECO   1    23       F                103
103 FOZDOCHAPECO   1    24       F                101
103 FOZDOCHAPECO   1    25       F                100
103 FOZDOCHAPECO   1    26       F                 99
103 FOZDOCHAPECO   1    27       F                100
095 QUEBRAQUEIXO   1    23       F                 28
095 QUEBRAQUEIXO   1    24       F                 28
095 QUEBRAQUEIXO   1    25       F                 28
095 QUEBRAQUEIXO   1    26       F                 28
095 QUEBRAQUEIXO   1    27       F                 27
101      SAOJOSE   1    23       F                 97
101      SAOJOSE   1    24       F                 95
101      SAOJOSE   1    25       F                 92
101      SAOJOSE   1    26       F                 91
101      SAOJOSE   1    27       F                 90
102 PASSO.S.JOAO   1    23       F                  4
102 PASSO.S.JOAO   1    24       F                  4
102 PASSO.S.JOAO   1    25       F                  4
102 PASSO.S.JOAO   1    26       F                  4
102 PASSO.S.JOAO   1    27       F                  3
097 CASTRO.ALVES   1    23       F                 70
097 CASTRO.ALVES   1    24       F                 66
097 CASTRO.ALVES   1    25       F                 66
097 CASTRO.ALVES   1    26       F                 81
097 CASTRO.ALVES   1    27       F                104
098  MONTE.CLARO   1    23       F                 46
098  MONTE.CLARO   1    24       F                 45
098  MONTE.CLARO   1    25       F                 44
098  MONTE.CLARO   1    26       F                 46
098  MONTE.CLARO   1    27       F                 52
099  14.DE.JULHO   1    23       F                  6
099  14.DE.JULHO   1    24       F                  6
099  14.DE.JULHO   1    25       F                  6
099  14.DE.JULHO   1    26       F                  6
099  14.DE.JULHO   1    27       F                  7
110    ERNESTINA   1    23       F                 18
110    ERNESTINA   1    24       F                 17
110    ERNESTINA   1    25       F                 18
110    ERNESTINA   1    26       F                 19
110    ERNESTINA   1    27       F                 20
111   PASSO.REAL   1    23       F                 87
111   PASSO.REAL   1    24       F                 85
111   PASSO.REAL   1    25       F                 84
111   PASSO.REAL   1    26       F                 85
111   PASSO.REAL   1    27       F                 86
112        JACUI   1    23       F                  1
112        JACUI   1    24       F                  1
112        JACUI   1    25       F                  1
112        JACUI   1    26       F                  1
112        JACUI   1    27       F                  1
113       ITAUBA   1    23       F                 15
113       ITAUBA   1    24       F                 15
113       ITAUBA   1    25       F                 15
113       ITAUBA   1    26       F                 15
113       ITAUBA   1    27       F                 18
114  D.FRANCISCA   1    23       F                 17
114  D.FRANCISCA   1    24       F                 16
114  D.FRANCISCA   1    25       F                 16
114  D.FRANCISCA   1    26       F                 17
114  D.FRANCISCA   1    27       F                 20
115    G.P.SOUZA   1    23       F                 12
115    G.P.SOUZA   1    24       F                 11
115    G.P.SOUZA   1    25       F                 11
115    G.P.SOUZA   1    26       F                 12
115    G.P.SOUZA   1    27       F                 12
215  SALTO.PILAO   1    23       F                 52
215  SALTO.PILAO   1    24       F                 49
215  SALTO.PILAO   1    25       F                 50
215  SALTO.PILAO   1    26       F                 56
215  SALTO.PILAO   1    27       F                 61
120      JAGUARI   1    23       F                  8
120      JAGUARI   1    24       F                  8
120      JAGUARI   1    25       F                  8
120      JAGUARI   1    26       F                  8
120      JAGUARI   1    27       F                  8
121    PARAIBUNA   1    23       F                 30
121    PARAIBUNA   1    24       F                 30
121    PARAIBUNA   1    25       F                 30
121    PARAIBUNA   1    26       F                 30
121    PARAIBUNA   1    27       F                 30
122 SANTA.BRANCA   1    23       F                  4
