VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
024   EMBORCACAO   1    11       F                 46
025    NOVAPONTE   1    05       F                 60
025    NOVAPONTE   1    06       F                 59
025    NOVAPONTE   1    07       F                 58
025    NOVAPONTE   1    08       F                 58
025    NOVAPONTE   1    09       F                 58
025    NOVAPONTE   1    10       F                 58
025    NOVAPONTE   1    11       F                 58
026      MIRANDA   1    05       F                  2
026      MIRANDA   1    06       F                  2
026      MIRANDA   1    07       F                  2
026      MIRANDA   1    08       F                  2
026      MIRANDA   1    09       F                  2
026      MIRANDA   1    10       F                  2
026      MIRANDA   1    11       F                  2
027 CAPIMBRANCO1   1    05       F                  1
027 CAPIMBRANCO1   1    06       F                  1
027 CAPIMBRANCO1   1    07       F                  1
027 CAPIMBRANCO1   1    08       F                  1
027 CAPIMBRANCO1   1    09       F                  1
027 CAPIMBRANCO1   1    10       F                  1
027 CAPIMBRANCO1   1    11       F                  1
028 CAPIMBRANCO2   1    05       F                  1
028 CAPIMBRANCO2   1    06       F                  1
028 CAPIMBRANCO2   1    07       F                  1
028 CAPIMBRANCO2   1    08       F                  1
028 CAPIMBRANCO2   1    09       F                  1
028 CAPIMBRANCO2   1    10       F                  1
028 CAPIMBRANCO2   1    11       F                  1
031    ITUMBIARA   1    05       F                 56
031    ITUMBIARA   1    06       F                 56
031    ITUMBIARA   1    07       F                 55
031    ITUMBIARA   1    08       F                 54
031    ITUMBIARA   1    09       F                 55
031    ITUMBIARA   1    10       F                 55
031    ITUMBIARA   1    11       F                 56
032 CACH.DOURADA   1    05       F                 18
032 CACH.DOURADA   1    06       F                 18
032 CACH.DOURADA   1    07       F                 18
032 CACH.DOURADA   1    08       F                 18
032 CACH.DOURADA   1    09       F                 18
032 CACH.DOURADA   1    10       F                 18
032 CACH.DOURADA   1    11       F                 18
033    SAO.SIMAO   1    05       F                233
033    SAO.SIMAO   1    06       F                232
033    SAO.SIMAO   1    07       F                231
033    SAO.SIMAO   1    08       F                230
033    SAO.SIMAO   1    09       F                230
033    SAO.SIMAO   1    10       F                230
033    SAO.SIMAO   1    11       F                232
290       ESPORA   1    05       F                 41
290       ESPORA   1    06       F                 41
290       ESPORA   1    07       F                 41
290       ESPORA   1    08       F                 41
290       ESPORA   1    09       F                 41
290       ESPORA   1    10       F                 41
290       ESPORA   1    11       F                 41
262        SALTO   1    05       F                 68
262        SALTO   1    06       F                 68
262        SALTO   1    07       F                 68
262        SALTO   1    08       F                 68
262        SALTO   1    09       F                 68
262        SALTO   1    10       F                 68
262        SALTO   1    11       F                 68
241 S.R.VERDINHO   1    05       F                  6
241 S.R.VERDINHO   1    06       F                  6
241 S.R.VERDINHO   1    07       F                  6
241 S.R.VERDINHO   1    08       F                  6
241 S.R.VERDINHO   1    09       F                  6
241 S.R.VERDINHO   1    10       F                  6
241 S.R.VERDINHO   1    11       F                  6
311         CACU   1    05       F                 58
311         CACU   1    06       F                 57
311         CACU   1    07       F                 57
