&& CABEÇALHO OCUPA AS TRES PRIMEIRAS LINHAS
&&COD  NOME------|-----JAN-|-----FEV-|-----MAR-|-----ABR-|-----MAI-|-----JUN-|-----JUL-|-----AGO-|-----SET-|-----OUT-|-----NOV-|-----DEZ-|
 MESPLAN=             9 ANOPLAN=          2024
   63 XXXXXXXXXXX     737.00    835.00    708.00    698.00    502.00    492.00    601.00    445.58    834.00   1647.00   2346.00   1307.00
   64 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   65 XXXXXXXXXXX      41.00     24.00     68.00    103.00    221.00     96.00    147.00     66.87    105.00    303.00    414.00    111.00
   66 XXXXXXXXXXX    8272.00   8135.00   8375.00  11179.00   5542.00   4834.00   4590.00   3753.97   6407.00   8122.00  11298.00   9304.00
   67 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   68 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   69 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   70 XXXXXXXXXXX      10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00    396.00    351.00     10.00
   71 XXXXXXXXXXX      88.00     74.00     96.00     79.00     89.00     64.00    114.00     56.10    140.00    430.00    402.00    111.00
   72 XXXXXXXXXXX      95.00     78.00    102.00     86.00    104.00     71.00    127.00     61.00    147.00    456.00    428.00    119.00
   73 XXXXXXXXXXX     122.00     99.00    125.00    113.00    168.00     98.00    177.00     81.68    175.00    569.00    524.00    150.00
   74 XXXXXXXXXXX     494.00    478.00    679.00    576.00    997.00    736.00   1209.00    441.42    524.00   3315.00   2920.00    891.00
   75 XXXXXXXXXXX     744.00    673.00    918.00    809.00   1469.00    976.00   1621.00    630.23    828.00   4012.00   3631.00   1208.00
   76 XXXXXXXXXXX     632.00    584.00    803.00    706.00   1311.00    888.00   1454.00    558.77    663.00   3838.00   3457.00   1068.00
   77 XXXXXXXXXXX     798.00    711.00   1008.00    930.00   1717.00   1104.00   1785.00    691.48    954.00   4688.00   4493.00   1356.00
   78 XXXXXXXXXXX     813.00    723.00   1041.00    969.00   1803.00   1159.00   1837.00    719.65    999.00   4728.00   4758.00   1420.00
   79 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   80 XXXXXXXXXXX      27.00     16.00     43.00     66.00    142.00     62.00     94.00     43.39     67.00    194.00    266.00     71.00
   81 XXXXXXXXXXX     974.00    818.00   1305.00   1370.00   2662.00   1535.00   2406.00    868.61   1407.00   5869.00   6407.00   1858.00
   82 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   83 XXXXXXXXXXX      28.00     17.00     46.00     71.00    152.00     66.00    101.00     46.13     72.00    208.00    284.00     76.00
